Date : 2024-05-22 15:15:52
Directory : /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib
Total : 45 files,  1237 codes, 28 comments, 187 blanks, all 1452 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/auth/data/datasources/auth_data.dart                  | Dart     |         80 |          0 |         12 |         92 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/auth/data/models/user_model.dart                      | Dart     |         33 |          0 |          4 |         37 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/auth/data/repositories/auth_repo_impl.dart            | Dart     |         38 |          1 |          6 |         45 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/auth/domain/entities/user_entities.dart               | Dart     |         14 |          0 |          2 |         16 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/auth/domain/repositories/auth_repo.dart               | Dart     |         14 |          0 |          3 |         17 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/auth/domain/usecases/auth_controller.dart             | Dart     |         12 |          2 |          5 |         19 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/auth/domain/usecases/user_login.dart                  | Dart     |         19 |          0 |          5 |         24 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/auth/domain/usecases/user_signup.dart                 | Dart     |         23 |          0 |          5 |         28 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/auth/presentation/bloc/auth_bloc.dart                 | Dart     |         14 |          1 |          3 |         18 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/auth/presentation/bloc/auth_event.dart                | Dart     |         47 |          2 |         16 |         65 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/auth/presentation/bloc/auth_state.dart                | Dart     |         21 |          0 |         12 |         33 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/auth/presentation/pages/sign_in_screen.dart           | Dart     |         45 |          0 |          6 |         51 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/auth/presentation/pages/sign_up_screen.dart           | Dart     |         45 |          0 |          6 |         51 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/auth/presentation/widgets/auth_button.dart            | Dart     |         25 |          0 |          4 |         29 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/auth/presentation/widgets/auth_field.dart             | Dart     |         25 |          0 |          4 |         29 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/explore/presentation/pages/explore_screen.dart        | Dart     |         12 |          0 |          4 |         16 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/goals/data/datasources/goals_data.dart                | Dart     |          0 |          0 |          1 |          1 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/goals/data/models/goals_model.dart                    | Dart     |          0 |          0 |          1 |          1 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/goals/data/repositories/goals_repo_impl.dart          | Dart     |          0 |          0 |          1 |          1 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/goals/domain/entities/goals_entity.dart               | Dart     |          0 |          0 |          1 |          1 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/goals/domain/repositories/goals_repo.dart             | Dart     |          0 |          0 |          1 |          1 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/goals/domain/usecases/modify_goals.dart               | Dart     |          0 |          0 |          1 |          1 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/goals/presentation/pages/goals_screen.dart            | Dart     |         64 |          2 |          5 |         71 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/home/presentation/pages/home_screen.dart              | Dart     |         50 |          2 |          5 |         57 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/profile/presentation/pages/my_profile_screen.dart     | Dart     |        129 |          6 |          4 |        139 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/search/presentation/pages/search_screen.dart          | Dart     |         18 |          0 |          4 |         22 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/settings/presentation/pages/settings_screen.dart      | Dart     |         36 |          1 |          3 |         40 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/tasks/data/models/task_model.dart                     | Dart     |         29 |          0 |          4 |         33 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/tasks/domain/entities/task_entities.dart              | Dart     |         12 |          0 |          2 |         14 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/main.dart                                                      | Dart     |         25 |          0 |          8 |         33 |
| Total                                                                                                                    |          |      1,237 |         28 |        187 |      1,452 |
+--------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
